scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
62,1062.6351,46.353973,0.8080557,1065.9155,20.186373,0.7280406,1096.7302,56.817406,0.6270571
63,1062.8413,43.823624,0.74737465,1065.9316,17.014442,0.73496205,1096.8909,54.11247,0.6650015
64,1063.5769,42.000965,0.77814025,1067.2972,16.748863,0.7207611,1097.9463,53.943775,0.65545744
65,1062.9904,42.08637,0.8221225,1068.0558,16.348211,0.71413034,1098.0695,54.252056,0.6286936
66,1063.6935,42.09228,0.85323656,1069.1044,15.657551,0.75075465,1098.6593,53.524696,0.707038
67,1065.9817,42.451405,0.8410572,1071.6376,17.192184,0.7192157,1100.4036,54.680664,0.74697345
68,1065.9225,42.876427,0.84686357,1067.649,12.842737,0.7421703,1100.8932,53.677193,0.76458514
69,1065.7649,43.167957,0.89330035,1068.6812,12.454647,0.74980885,1100.7048,52.773758,0.7944244
70,1065.9716,43.012848,0.92749697,1069.5256,12.211578,0.7180072,1101.4757,51.58351,0.78666806
71,1065.5596,42.791424,0.9075061,1067.8789,11.165462,0.7387281,1100.6793,50.441734,0.7929499
72,1066.4397,41.458096,0.903727,1068.1581,10.536561,0.7280358,1101.6698,50.116745,0.7770684
73,1066.6494,40.579643,0.89826983,1067.3245,9.992226,0.7288294,1101.564,48.75262,0.76201487
74,1066.1238,40.765747,0.8170344,1069.7915,10.659221,0.73817545,1101.3005,50.195816,0.7731066
75,1067.0442,40.97548,0.8253318,1071.0217,10.848697,0.70392853,1102.6074,51.224796,0.77176714
76,1067.7264,41.2958,0.8881582,1070.4874,10.338364,0.68995845,1103.1112,51.527534,0.7693437
77,1067.91,41.459263,0.9058081,1071.8373,11.275791,0.6990878,1102.9796,52.17776,0.8092369
78,1068.3367,41.64216,0.9399638,1075.0697,13.954789,0.7017604,1103.6154,53.28385,0.8218427
79,1068.2987,43.037243,0.9377059,1074.7054,14.260894,0.73655736,1103.6632,52.996544,0.8215814
80,1068.6655,43.566254,0.90333927,1073.8616,13.779721,0.7558564,1103.3486,53.24262,0.8029155
81,1069.4951,43.561203,0.9019803,1075.447,14.642843,0.741156,1103.333,52.962734,0.7957862
82,1069.6598,44.222908,0.9107233,1076.0692,16.536535,0.71199554,1103.6229,53.946117,0.79887706
83,1070.513,46.477585,0.91944045,1081.1991,23.472206,0.62757266,1104.4589,56.14684,0.79366934
84,1069.7343,48.700108,0.9507911,1078.3077,22.849237,0.70312923,1104.0088,56.894413,0.8115857
85,1069.931,48.144875,0.9838157,1079.7352,24.590136,0.68526393,1104.0206,57.602753,0.82397133
86,1070.205,49.097847,0.9781863,1081.3993,28.665197,0.63207483,1103.7303,58.23376,0.82791346
87,1069.5525,49.25228,0.97479063,1080.4125,28.593412,0.6069321,1103.5333,58.25006,0.8102941
88,1070.362,49.96073,0.99457246,1082.082,30.849804,0.5843792,1104.206,60.363037,0.8608192
89,1070.9037,50.473682,0.9905706,1082.0134,31.035503,0.57483137,1104.5272,61.125282,0.84199923
90,1070.3762,52.047935,0.94712377,1081.8658,29.23396,0.6343589,1104.395,61.76293,0.8569708
91,1070.596,53.649822,0.962231,1080.0927,27.393763,0.7053116,1104.5739,62.08792,0.86691386
92,1069.929,54.57968,0.98937535,1078.8517,27.573439,0.7086635,1103.9075,62.64101,0.8833834
93,1069.4307,54.72889,0.9831429,1076.9862,26.299374,0.7523548,1103.5923,62.56572,0.8762418
94,1070.1765,54.54591,0.9414648,1078.3873,27.346369,0.7238369,1103.6709,63.313553,0.89573145
95,1070.1184,56.093815,0.98301667,1079.9523,30.723688,0.64203465,1103.8517,64.96192,0.9307113
96,1069.5962,56.546646,0.9550853,1079.0883,29.979689,0.66880494,1104.0391,64.9831,0.9336728
97,1070.0802,56.722794,0.94631124,1079.1929,30.329407,0.6327523,1104.4475,67.50177,0.94063395
98,1068.8673,57.66329,1.0,1077.6055,30.191763,0.71895456,1103.664,68.64344,0.9126038
99,1068.4529,57.632477,1.0,1080.4303,34.074997,0.648034,1103.2114,71.132195,0.8711258
100,1066.3877,58.834972,1.0,1078.4626,36.581524,0.6940685,1101.7704,72.5065,0.7983386
101,1064.8635,59.431007,1.0,1077.2527,36.384727,0.7560264,1100.9592,73.721344,0.8155512
102,1064.9447,60.6399,1.0,1075.5942,37.127296,0.7182325,1100.396,74.09449,0.8857555
103,1064.9146,61.814693,0.9855395,1075.8506,38.623436,0.7301037,1100.387,75.19731,0.90014684
104,1065.002,61.505615,1.0,1076.7224,38.69079,0.7462278,1099.7489,75.61053,0.9025261
105,1064.7821,61.08574,1.0,1076.5103,38.595726,0.74894094,1100.2164,76.45801,0.8732202
106,1064.9734,61.72711,0.9994492,1075.9236,34.9117,0.83232814,1100.0016,75.638664,0.8663178
107,1065.6243,61.615517,1.0,1077.0189,35.795856,0.8156242,1100.3143,76.76059,0.8795373
108,1066.251,61.44011,1.0,1076.9318,33.90365,0.80744,1100.6538,76.70746,0.87932813
109,1065.8049,61.442745,1.0,1077.4841,33.702152,0.7979137,1100.3488,76.79161,0.8863038
110,1066.009,62.013668,1.0,1077.519,33.016136,0.7833525,1100.8604,77.23105,0.87763804
111,1066.3152,61.884117,1.0,1078.7947,34.676495,0.7715413,1101.7893,79.884865,0.92513174
112,1065.8938,61.64532,0.99469113,1078.4503,34.49988,0.77630097,1101.3577,79.15406,0.9190262
113,1065.2399,62.731766,0.9656965,1077.7482,36.25349,0.78235716,1100.702,78.84385,0.9440547
114,1065.137,62.264446,0.9811176,1077.4889,37.14847,0.7758936,1100.552,78.70215,0.93470556
115,1064.8314,62.381485,0.983424,1076.9434,38.705986,0.75038046,1100.1771,78.36117,0.9164999
116,1064.572,62.038036,0.9442837,1075.3644,36.936558,0.77919114,1100.2192,78.1104,0.87012523
117,1064.6821,63.369198,0.9246348,1075.0173,37.76403,0.761733,1099.7356,77.49598,0.85739976
118,1065.4656,62.857086,0.9518288,1075.2343,37.87652,0.7299959,1100.1978,77.47919,0.8419659
119,1065.8973,62.296833,0.98098147,1075.3492,36.755173,0.7436347,1100.8806,78.05469,0.849579
120,1066.2898,61.77909,0.9911245,1075.6589,36.338963,0.76753813,1100.6517,77.74589,0.8362726
121,1065.8077,62.510487,0.9465783,1076.0604,38.369717,0.7084011,1100.6554,77.68407,0.8332998
122,1066.1012,62.07658,0.9753275,1075.6194,37.800713,0.7311265,1100.7119,77.45512,0.8333235
123,1066.3328,61.667183,1.0,1075.2112,37.60871,0.7132909,1100.5204,76.79266,0.8482954
124,1067.7777,61.08113,1.0,1076.0757,36.834084,0.68889105,1100.9393,76.13645,0.83376914
125,1068.0894,60.460037,1.0,1076.2781,34.071415,0.7206469,1101.5266,75.705826,0.83383787
126,1068.6656,60.068,0.9984706,1077.9196,34.46843,0.71239084,1101.7544,77.177635,0.8386213
127,1068.1581,60.306385,1.0,1077.8525,34.68999,0.71377915,1101.6122,77.031136,0.83292085
128,1068.2161,60.248665,1.0,1077.7836,35.366978,0.7032888,1102.026,77.247925,0.80271167
129,1067.7935,60.411312,1.0,1076.8428,35.58171,0.7232945,1101.819,76.08508,0.8169484
130,1067.6497,59.85943,1.0,1075.2438,33.94144,0.7374907,1101.9045,75.046974,0.8056285
131,1068.0638,60.181587,1.0,1075.3519,34.492317,0.72801465,1102.4094,75.03402,0.78086305
132,1068.2708,60.045277,1.0,1075.9486,34.301502,0.72938246,1102.7225,75.58009,0.76447326
133,1068.0481,60.700256,1.0,1076.7063,35.52295,0.7269799,1102.7191,75.55082,0.76796186
134,1068.1676,59.434822,1.0,1076.0879,34.533382,0.72500306,1102.6881,74.39383,0.7785306
135,1067.9592,59.004303,1.0,1077.4672,34.196167,0.72241056,1103.1538,75.73003,0.77598625
136,1069.5466,58.537983,1.0,1076.8961,30.646957,0.71166146,1103.6815,74.73943,0.78146905
137,1070.675,58.5307,0.99151725,1076.9792,29.283066,0.7178357,1104.1637,75.5238,0.81056947
138,1070.6943,58.8838,0.9722966,1076.8893,27.686344,0.793799,1104.2865,73.69053,0.80033094
139,1071.1887,58.81416,0.9708006,1077.5217,27.333797,0.7902072,1104.419,73.611046,0.8011014
140,1071.6407,59.039665,0.9933073,1077.7917,27.367167,0.78112936,1104.5739,74.034,0.7990651
141,1071.7251,58.909843,0.9806021,1077.3296,27.248064,0.7836089,1105.072,73.696465,0.80030733
142,1071.6958,59.230305,0.9677668,1077.3844,27.275845,0.78551966,1105.0938,73.17738,0.81351227
143,1072.1901,58.94997,0.9778613,1077.2424,27.432985,0.75668883,1105.369,74.84028,0.8158744
144,1071.8615,58.875347,0.96201026,1077.261,27.058706,0.7661596,1105.0966,74.48751,0.80936885
145,1072.4088,58.884197,0.98081034,1077.6295,27.541773,0.74852633,1104.9626,75.75312,0.84215415
146,1072.2195,58.952366,0.97094274,1077.6318,27.66004,0.7569072,1105.1985,73.70845,0.84681207
147,1072.161,58.2022,0.97587574,1077.9191,27.738163,0.7510897,1105.4774,73.34675,0.79995286
148,1073.3562,58.159874,0.9998736,1078.0066,27.732542,0.71843964,1105.8407,74.01582,0.7990059
149,1073.6039,58.047405,1.0,1077.817,26.986467,0.69775856,1105.9828,73.115456,0.81549585
150,1073.35,57.906723,0.9976719,1077.9025,26.452799,0.7081786,1106.227,72.78184,0.7947115
151,1073.5526,58.587906,1.0,1078.0985,26.057505,0.7160412,1106.5529,70.907425,0.84721744
152,1073.4518,57.369995,0.97220874,1078.7483,25.500032,0.7207878,1106.6678,69.627014,0.9045117
153,1073.2808,57.18341,0.952748,1079.4423,24.823236,0.7247939,1106.9275,68.80635,0.90173733
154,1073.5614,56.775066,0.94471586,1079.919,24.629637,0.71791136,1107.0271,67.38494,0.939432
155,1074.2416,56.391502,0.9729121,1081.1415,23.60218,0.7157168,1107.833,67.62175,0.9200786
156,1074.4048,55.974075,0.9811726,1081.8708,23.449108,0.7150914,1107.6704,66.81471,0.9373382
157,1074.4343,56.775726,0.96523416,1082.5314,24.279514,0.6859609,1107.9486,67.41011,0.9391749
158,1074.5145,56.902897,0.9729761,1082.3491,22.787582,0.7238728,1108.6259,65.92891,0.9085969
159,1075.3788,56.84917,0.9566769,1083.4391,24.050524,0.6953945,1109.0481,67.02262,0.9311567
160,1075.7954,55.944138,0.97393936,1083.663,23.855495,0.70422786,1109.4641,66.29917,0.8997349
161,1075.7625,55.067486,0.96295196,1083.7781,23.615427,0.71222615,1109.6892,67.2188,0.88139004
162,1077.1881,54.416134,0.97199816,1084.9164,23.906515,0.695555,1109.8236,67.20273,0.8961689
163,1076.7845,54.17224,0.9275131,1084.1512,23.487804,0.7020908,1109.6847,66.03908,0.89582455
164,1075.4225,53.95141,0.9740337,1083.7018,23.369667,0.7229758,1109.3716,65.79833,0.9016189
165,1075.0994,53.937004,0.94202983,1083.1946,22.401754,0.70352215,1109.2405,66.68809,0.90906155
166,1074.8438,54.2426,0.98212975,1083.5293,23.887342,0.7176201,1108.4142,65.09568,0.9121375
167,1074.4741,53.894108,0.9951309,1082.8706,21.92908,0.72964567,1108.3806,64.85712,0.92144036
168,1074.4147,53.580387,1.0,1083.6334,23.310966,0.7383367,1108.508,65.24737,0.9081718
169,1075.4142,53.40305,1.0,1083.734,22.972368,0.7168241,1108.7504,65.075905,0.896238
170,1075.4977,53.394474,1.0,1083.6566,22.609573,0.7194265,1108.5775,64.44367,0.9034921
171,1076.7303,52.781666,1.0,1084.1263,22.02553,0.7068088,1109.2954,64.86675,0.89138985
172,1075.2506,52.753983,0.9956641,1083.8822,21.681799,0.7420616,1108.5933,63.641415,0.8890351
173,1075.3237,52.23429,1.0,1084.4059,21.810802,0.73784816,1109.1886,63.899696,0.88725615
174,1074.7207,50.601204,0.9970021,1084.3718,20.730803,0.7385301,1108.7651,62.90615,0.86011994
175,1074.948,50.04311,0.9961517,1084.7103,20.130615,0.7403225,1109.2471,62.42598,0.87021375
176,1075.1326,48.79199,0.97301704,1085.0334,18.887516,0.7219879,1110.1487,61.640224,0.87358195
177,1075.9779,48.926952,0.97867805,1085.4594,18.759167,0.72896814,1110.1074,60.581734,0.85848075
178,1075.7174,48.435738,0.967212,1086.123,18.822073,0.7344378,1110.4323,60.65294,0.8352857
179,1076.435,47.823776,0.91530037,1085.8953,18.315674,0.72338176,1110.8344,60.29898,0.8528424
180,1076.2977,47.734142,0.91510516,1086.199,18.284655,0.71592164,1111.0793,60.90541,0.8353769
181,1076.0878,48.267166,0.93921554,1086.059,18.510344,0.71770054,1110.554,59.71938,0.86254406
182,1075.9679,48.63532,0.93226457,1085.6459,18.239517,0.7279057,1110.4747,58.867485,0.85487807
183,1075.2493,48.374035,0.93886256,1085.4341,18.338528,0.75094825,1109.755,58.03777,0.8690556
184,1076.0721,48.615704,0.96399516,1085.9698,18.9207,0.75754684,1110.3892,58.67524,0.8372299
185,1076.1196,48.809902,0.957067,1086.3964,19.387333,0.77753186,1111.0681,59.348053,0.8191479
186,1076.6592,49.737957,0.9844626,1086.5603,19.787842,0.7927381,1111.6506,59.425804,0.8066334
