scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
239,19.790905,686.6312,0.014914677
240,19.77083,686.4845,0.014977928
241,19.765245,686.6457,0.015495067
242,19.770012,686.7599,0.014317657
243,19.75852,686.9388,0.01516638
244,19.755823,686.9147,0.01525206
245,19.748873,686.7302,0.01538075
246,19.74051,686.82837,0.01496304
247,19.754679,686.77686,0.015004095
248,19.813477,686.9088,0.014940177
249,19.751997,686.68945,0.015416676
250,19.816484,686.79803,0.014250048
251,19.74754,686.63794,0.01538819
252,19.806347,686.7341,0.015266449
253,19.819609,686.8804,0.015371492
254,19.81667,686.82294,0.015647206
255,19.809345,686.90265,0.014934338
256,19.809744,686.8491,0.015430697
257,19.778055,687.0925,0.015643677
258,19.762129,687.13776,0.015266881
259,19.690893,686.597,0.015536727
260,19.76561,686.7972,0.015275184
261,19.780996,686.7964,0.015416106
